iter	Accuracy	Logloss
0	0.747082991	0.675332096
1	0.7571076417	0.6583996921
2	0.7714050945	0.642096098
3	0.7702547247	0.6279111796
4	0.7649958915	0.6151636476
5	0.7763352506	0.6025594105
6	0.7802793755	0.5913142917
7	0.7791290058	0.5802700131
8	0.7827444536	0.5691127689
9	0.7832374692	0.5594016349
10	0.7860312243	0.5524884518
11	0.7878389482	0.5432251668
12	0.7863599014	0.5367004299
13	0.7863599014	0.5297182247
14	0.7855382087	0.5247418459
15	0.7886606409	0.5191374246
16	0.7880032868	0.5136659124
17	0.788989318	0.5081898652
18	0.7906327034	0.503768504
19	0.7883319638	0.4988490914
20	0.7934264585	0.4960953
21	0.7921117502	0.4925869757
22	0.7921117502	0.4887368817
23	0.7912900575	0.4854008584
24	0.7914543961	0.4822203612
25	0.7922760887	0.4792808302
26	0.7919474117	0.4765830976
27	0.7952341824	0.4742338963
28	0.7945768283	0.4712478586
29	0.7949055053	0.4685231978
30	0.7952341824	0.466136636
31	0.7960558751	0.4637525068
32	0.7963845522	0.4617835794
33	0.7958915366	0.4608536292
34	0.7970419063	0.4587009022
35	0.7970419063	0.4564780394
36	0.7975349219	0.454833995
37	0.7976992605	0.4534869436
38	0.7970419063	0.4517456879
39	0.7981922761	0.4501154948
40	0.7986852917	0.4480550802
41	0.7998356615	0.4466609418
42	0.8006573541	0.4447855934
43	0.8	0.4426025656
44	0.8011503698	0.441184834
45	0.8026294166	0.439857381
46	0.8032867707	0.4384751064
47	0.8036154478	0.437104817
48	0.8037797864	0.4354032444
49	0.8047658176	0.4334414228
50	0.8050944947	0.4330719674
51	0.8059161873	0.4319420718
52	0.8073952342	0.4304965618
53	0.8077239113	0.4292205832
54	0.8077239113	0.4281905843
55	0.8080525883	0.4272806781
56	0.8082169269	0.4263426587
57	0.8092029581	0.4255329643
58	0.8092029581	0.4248402963
59	0.8087099425	0.4238215922
60	0.8100246508	0.4227428969
61	0.8098603122	0.4218753988
62	0.8098603122	0.4207831791
63	0.8103533279	0.4195710087
64	0.8101889893	0.4190783619
65	0.8100246508	0.4180225408
66	0.8101889893	0.417491393
67	0.8105176664	0.4165699362
68	0.811010682	0.4159440793
69	0.8118323747	0.4147661283
70	0.8115036976	0.4140689356
71	0.8118323747	0.4132958354
72	0.8118323747	0.412628539
73	0.8118323747	0.4117748102
74	0.8118323747	0.4109168111
75	0.8113393591	0.4099510351
76	0.8119967132	0.409280119
77	0.8121610518	0.4083432843
78	0.8118323747	0.4075466547
79	0.8124897288	0.4067523679
80	0.8138044371	0.4062054829
81	0.8138044371	0.4056496798
82	0.8141331142	0.405290154
83	0.8139687757	0.4044319365
84	0.8141331142	0.4038919498
85	0.8154478225	0.4028491921
86	0.815283484	0.4023540752
87	0.8151191454	0.4017037854
88	0.8154478225	0.4012095139
89	0.8157764996	0.400724169
90	0.8164338537	0.4001553793
91	0.8159408381	0.3996588466
92	0.8165981923	0.3990937454
93	0.817419885	0.3986962996
94	0.8172555464	0.3981156822
95	0.8169268694	0.3977685225
96	0.8170912079	0.3971122716
97	0.817419885	0.3964178129
