iter	Passed	Remaining
0	13	20912
1	22	16519
2	33	16502
3	41	15482
4	49	14674
5	54	13531
6	59	12757
7	69	12883
8	74	12352
9	80	12023
10	85	11620
11	91	11398
12	96	11072
13	102	10876
14	110	10968
15	116	10792
16	122	10681
17	129	10658
18	135	10524
19	140	10382
20	145	10260
21	150	10129
22	156	10044
23	161	9955
24	169	9985
25	175	9926
26	181	9900
27	186	9811
28	193	9795
29	198	9746
30	204	9680
31	210	9639
32	215	9593
33	220	9493
34	228	9547
35	234	9549
36	240	9489
37	245	9447
38	250	9395
39	255	9343
40	260	9285
41	266	9235
42	271	9212
43	277	9184
44	283	9160
45	288	9124
46	293	9072
47	298	9037
48	303	8990
49	308	8952
50	311	8861
51	316	8822
52	322	8793
53	327	8769
54	332	8740
55	338	8734
56	343	8700
57	348	8671
58	355	8682
59	360	8663
60	366	8648
61	371	8621
62	377	8610
63	383	8614
64	390	8614
65	395	8592
66	400	8575
67	406	8552
68	411	8529
69	416	8507
70	421	8488
71	426	8467
72	432	8446
73	438	8446
74	443	8433
75	449	8414
76	456	8431
77	462	8424
78	467	8402
79	472	8394
80	477	8373
81	482	8352
82	488	8332
83	493	8310
84	498	8304
85	503	8284
86	509	8267
87	515	8278
88	521	8271
89	529	8296
90	535	8287
91	540	8270
92	545	8253
93	550	8238
94	556	8223
95	562	8232
96	568	8218
97	574	8216
98	580	8214
99	585	8200
100	591	8188
101	596	8177
102	603	8187
103	609	8182
104	615	8170
105	621	8173
106	628	8181
107	633	8169
108	638	8152
109	643	8132
110	650	8143
111	656	8133
112	661	8121
113	667	8119
114	672	8105
115	679	8104
116	684	8095
117	688	8068
118	694	8059
119	698	8036
120	704	8024
121	709	8011
122	717	8029
123	722	8014
124	728	8011
125	734	8010
126	739	7999
127	746	7998
128	751	7982
129	757	7977
130	762	7970
131	768	7960
132	773	7952
133	777	7927
134	785	7942
135	791	7938
136	796	7927
137	803	7928
138	808	7912
139	813	7899
140	818	7886
141	823	7875
142	828	7861
143	834	7857
144	843	7879
145	848	7870
146	855	7873
147	862	7882
148	869	7885
149	877	7896
150	881	7874
151	886	7864
152	891	7846
153	896	7836
154	901	7825
155	907	7818
156	913	7813
157	918	7804
158	924	7799
159	930	7789
160	935	7782
161	941	7772
162	946	7765
163	952	7756
164	956	7740
165	963	7738
166	968	7731
167	976	7739
168	982	7739
169	988	7731
170	995	7737
171	1001	7734
172	1007	7724
173	1012	7715
174	1019	7716
175	1025	7710
176	1031	7708
177	1036	7696
178	1042	7689
179	1047	7680
180	1052	7672
181	1059	7672
182	1064	7662
183	1070	7655
184	1074	7634
185	1079	7627
186	1084	7613
187	1087	7592
188	1093	7583
189	1098	7575
190	1103	7562
191	1109	7558
192	1114	7549
193	1120	7542
194	1126	7537
195	1131	7528
196	1137	7521
197	1143	7517
198	1148	7507
199	1153	7497
200	1159	7490
201	1164	7481
202	1167	7462
203	1174	7460
204	1180	7457
205	1187	7458
206	1193	7452
207	1199	7451
208	1206	7451
209	1212	7447
210	1218	7441
211	1224	7441
212	1231	7438
213	1238	7440
214	1243	7432
215	1248	7424
216	1257	7435
217	1265	7443
218	1271	7436
219	1277	7431
220	1284	7432
221	1290	7426
222	1295	7419
223	1302	7417
224	1309	7418
225	1315	7415
226	1321	7408
227	1327	7404
228	1332	7397
229	1340	7399
230	1347	7402
231	1354	7401
232	1360	7395
233	1365	7389
234	1371	7383
235	1377	7379
236	1386	7387
237	1392	7384
238	1398	7379
239	1405	7379
240	1412	7377
241	1418	7372
242	1423	7365
243	1429	7357
244	1436	7357
245	1443	7359
246	1449	7352
247	1455	7349
248	1462	7347
249	1467	7338
250	1473	7334
251	1480	7331
252	1486	7326
253	1493	7325
254	1498	7315
255	1504	7312
256	1510	7305
257	1516	7299
258	1521	7291
259	1526	7281
260	1532	7274
261	1537	7263
262	1544	7266
263	1551	7266
264	1559	7266
265	1565	7262
266	1571	7258
267	1577	7251
268	1584	7249
269	1590	7245
270	1596	7240
271	1602	7233
272	1608	7230
273	1615	7228
274	1621	7225
275	1627	7216
276	1633	7212
277	1640	7211
278	1647	7210
279	1653	7202
280	1658	7194
281	1664	7191
282	1670	7184
283	1676	7179
284	1683	7174
285	1688	7168
286	1706	7213
287	1712	7207
288	1718	7201
289	1725	7198
290	1731	7194
291	1738	7191
292	1744	7184
293	1749	7177
294	1756	7172
295	1761	7164
296	1767	7157
297	1772	7149
298	1778	7143
299	1784	7137
300	1791	7135
301	1797	7129
302	1803	7123
303	1809	7119
304	1816	7118
305	1822	7112
306	1828	7105
307	1833	7095
308	1838	7086
309	1844	7079
310	1850	7072
311	1856	7070
312	1863	7065
313	1868	7056
314	1874	7050
315	1879	7043
316	1886	7038
317	1892	7036
318	1898	7026
319	1904	7021
320	1909	7014
321	1916	7011
322	1924	7011
323	1929	7003
324	1935	6996
325	1941	6992
326	1947	6987
327	1952	6977
328	1958	6969
329	1966	6971
330	1973	6969
331	1980	6967
332	1986	6960
333	1991	6953
334	1996	6944
335	2002	6938
336	2008	6929
337	2014	6923
338	2019	6915
339	2025	6910
340	2031	6905
341	2036	6897
342	2042	6890
343	2047	6881
344	2052	6872
345	2059	6867
346	2064	6859
347	2069	6851
348	2074	6841
349	2080	6836
350	2085	6826
351	2090	6817
352	2096	6810
353	2101	6803
354	2107	6796
355	2113	6790
356	2119	6784
357	2124	6777
358	2130	6772
359	2136	6764
360	2141	6755
361	2146	6749
362	2152	6741
363	2158	6735
364	2163	6728
365	2169	6722
366	2175	6715
367	2180	6707
368	2186	6702
369	2192	6695
370	2197	6687
371	2202	6678
372	2209	6674
373	2276	6852
374	2281	6843
375	2287	6836
376	2292	6828
377	2297	6819
378	2303	6812
379	2308	6803
380	2312	6791
381	2318	6785
382	2323	6776
383	2328	6767
384	2334	6761
